date,lat,lon,depth,mag,eq_5km,eq_10km,eq_20km,eq_30km
2009-10-17 20:47:38.300000+00:00,46.3758333,-122.304,15.972,1.7,False,False,False,False
2009-10-17 22:41:30.330000+00:00,39.4556667,-123.0966667,4.173,1.61,False,False,True,True
2009-10-18 03:18:55.050000+00:00,40.2945,-124.4638333,20.217,2.27,False,False,False,True
2009-10-18 04:43:05.265000+00:00,39.39,-119.9652,7.0,1.5,False,False,False,False
2009-10-18 05:26:39.270000+00:00,39.1726667,-123.0605,7.177,1.65,False,False,True,True
2009-10-18 07:32:34.880000+00:00,39.9705,-120.8698333,11.677,1.98,False,False,False,False
2009-10-18 15:47:29.920000+00:00,39.8523333,-120.7926667,5.459,3.11,False,False,False,False
2009-10-19 00:34:37.400000+00:00,48.4025,-123.9853333,51.335,1.8,False,False,False,True
2009-10-20 04:37:26.350000+00:00,41.2941667,-122.1613333,5.09,1.7,False,False,False,False
2009-10-20 13:34:29.404000+00:00,39.5563,-119.954,6.2,1.5,False,False,False,False
2009-10-20 15:32:39.650000+00:00,47.8845,-122.325,16.379,1.9,False,False,False,True
2009-10-20 19:10:45.140000+00:00,40.4083333,-124.6326667,23.357,3.1,False,False,False,False
2009-10-20 20:01:35.490000+00:00,40.39,-124.6048333,22.467,1.79,False,False,False,False
2009-10-20 23:52:30.450000+00:00,39.5735,-122.0075,0.399,1.58,False,False,False,False
2009-10-21 02:48:07.310000+00:00,39.4498333,-123.1213333,-1.007,1.74,False,False,False,True
2009-10-21 03:25:11.250000+00:00,39.2756667,-123.4475,3.383,2.15,False,False,False,True
2009-10-21 04:54:04.529000+00:00,39.9424,-120.8517,9.2,1.6,False,False,False,False
2009-10-21 11:17:20.950000+00:00,44.066,-128.799,10.0,4.0,False,False,False,False
2009-10-21 12:32:55.244000+00:00,41.3553,-119.2414,0.9,2.1,False,False,False,False
2009-10-21 17:30:34+00:00,39.2371667,-120.0838333,7.439,1.7,False,False,False,False
2009-10-21 18:40:21.490000+00:00,38.9148333,-123.0223333,1.255,1.5,False,False,False,True
2009-10-21 19:25:27.100000+00:00,40.41,-124.416,9.747,1.78,False,True,True,True
2009-10-22 10:26:22.199000+00:00,39.1233,-119.6931,7.8,1.5,False,False,False,False
2009-10-22 13:59:21.748000+00:00,39.1285,-119.6901,7.6,2.5,False,False,False,False
2009-10-22 23:50:50.920000+00:00,40.2718333,-121.3001667,-1.094,1.98,False,False,False,False
2009-10-23 06:55:21.180000+00:00,39.4625,-123.1105,1.583,1.58,False,False,True,True
2009-10-23 09:40:47.530000+00:00,43.598,-127.239,10.0,4.1,False,False,False,False
2009-10-23 11:45:24.110000+00:00,40.8613333,-122.4756667,15.268,1.8,False,False,True,True
2009-10-23 12:13:16.029000+00:00,40.309,-119.4467,10.7,1.8,False,False,False,False
2009-10-23 16:32:40.790000+00:00,40.335,-124.2233333,20.467,2.23,False,False,True,True
2009-10-23 20:05:04.630000+00:00,46.853,-121.7586667,0.202,1.6,False,False,False,False
2009-10-23 23:58:31.657000+00:00,39.588,-120.6112,0.0,1.5,False,False,False,False
2009-10-24 16:35:54.130000+00:00,39.1175,-123.4958333,4.176,1.55,False,False,True,True
2009-10-24 21:12:58.380000+00:00,45.1251667,-120.9388333,17.239,1.8,False,False,False,False
2009-10-24 21:15:47.820000+00:00,45.1258333,-120.9456667,18.597,2.5,False,False,False,False
2009-10-25 05:31:28.890000+00:00,47.6355,-122.2095,25.284,1.7,False,False,False,True
